Source,Target,Weight,Type
каменкович каррик_толкин_ч1,каменкович каррик_толкин_ч2,2,undirected
каменкович каррик_толкин_ч1,королев_хоббит,30,undirected
каменкович каррик_толкин_ч1,муравьев кистяковский_толкин_ВК1,208,undirected
каменкович каррик_толкин_ч1,муравьев_фицджеральд_алмазная гора,65,undirected
каменкович каррик_толкин_ч1,рахманова_хоббит,12,undirected
каменкович каррик_толкин_ч2,каменкович каррик_толкин_ч1,2,undirected
каменкович каррик_толкин_ч2,каменкович каррик_толкин_ч3,97,undirected
каменкович каррик_толкин_ч2,кистяковский_толкин_ВК2,206,undirected
каменкович каррик_толкин_ч2,кистяковский_тэрбер_женщина в западне,1,undirected
каменкович каррик_толкин_ч2,королев_хоббит,8,undirected
каменкович каррик_толкин_ч2,муравьев_толкин_ВК5,10,undirected
каменкович каррик_толкин_ч2,муравьев_фицджеральд_алмазная гора,46,undirected
каменкович каррик_толкин_ч3,каменкович каррик_толкин_ч2,97,undirected
каменкович каррик_толкин_ч3,кистяковский_тиле_остров одинокой сороки,5,undirected
каменкович каррик_толкин_ч3,кистяковский_толкин_ВК2,6,undirected
каменкович каррик_толкин_ч3,кистяковский_тэрбер_женщина в западне,3,undirected
каменкович каррик_толкин_ч3,кистяковский_фицджеральд_бурный рейс,2,undirected
каменкович каррик_толкин_ч3,морозова_тиле_маяк молоткового мыса,2,undirected
каменкович каррик_толкин_ч3,муравьев_тиле_штормик и мистер персиваль,2,undirected
каменкович каррик_толкин_ч3,муравьев_толкин_ВК3,208,undirected
каменкович каррик_толкин_ч3,муравьев_толкин_ВК4,22,undirected
каменкович каррик_толкин_ч3,муравьев_толкин_ВК5,14,undirected
каменкович каррик_толкин_ч3,муравьев_толкин_ВК6,4,undirected
каменкович каррик_толкин_ч3,муравьев_фицджеральд_алмазная гора,5,undirected
кистяковский_тиле_остров одинокой сороки,каменкович каррик_толкин_ч3,5,undirected
кистяковский_тиле_остров одинокой сороки,кистяковский_тэрбер_женщина в западне,5,undirected
кистяковский_тиле_остров одинокой сороки,кистяковский_фицджеральд_бурный рейс,6,undirected
кистяковский_тиле_остров одинокой сороки,королев_хоббит,2,undirected
кистяковский_тиле_остров одинокой сороки,морозова_тиле_маяк молоткового мыса,93,undirected
кистяковский_тиле_остров одинокой сороки,муравьев_тиле_штормик и мистер персиваль,119,undirected
кистяковский_тиле_остров одинокой сороки,муравьев_толкин_ВК5,11,undirected
кистяковский_тиле_остров одинокой сороки,муравьев_фицджеральд_алмазная гора,54,undirected
кистяковский_толкин_ВК2,каменкович каррик_толкин_ч2,206,undirected
кистяковский_толкин_ВК2,каменкович каррик_толкин_ч3,6,undirected
кистяковский_толкин_ВК2,кистяковский_фицджеральд_бурный рейс,36,undirected
кистяковский_толкин_ВК2,муравьев_толкин_ВК3,4,undirected
кистяковский_толкин_ВК2,муравьев_толкин_ВК5,13,undirected
кистяковский_толкин_ВК2,муравьев_фицджеральд_алмазная гора,63,undirected
кистяковский_толкин_ВК2,рахманова_хоббит,1,undirected
кистяковский_тэрбер_женщина в западне,каменкович каррик_толкин_ч2,1,undirected
кистяковский_тэрбер_женщина в западне,каменкович каррик_толкин_ч3,3,undirected
кистяковский_тэрбер_женщина в западне,кистяковский_тиле_остров одинокой сороки,5,undirected
кистяковский_тэрбер_женщина в западне,кистяковский_фицджеральд_бурный рейс,36,undirected
кистяковский_тэрбер_женщина в западне,королев_хоббит,3,undirected
кистяковский_тэрбер_женщина в западне,муравьев_о генри_гипотетический казус,90,undirected
кистяковский_тэрбер_женщина в западне,муравьев_фицджеральд_алмазная гора,79,undirected
кистяковский_фицджеральд_бурный рейс,каменкович каррик_толкин_ч3,2,undirected
кистяковский_фицджеральд_бурный рейс,кистяковский_тиле_остров одинокой сороки,6,undirected
кистяковский_фицджеральд_бурный рейс,кистяковский_толкин_ВК2,36,undirected
кистяковский_фицджеральд_бурный рейс,кистяковский_тэрбер_женщина в западне,36,undirected
кистяковский_фицджеральд_бурный рейс,морозова_тиле_маяк молоткового мыса,58,undirected
кистяковский_фицджеральд_бурный рейс,муравьев_о генри_гипотетический казус,109,undirected
кистяковский_фицджеральд_бурный рейс,муравьев_тиле_штормик и мистер персиваль,9,undirected
кистяковский_фицджеральд_бурный рейс,муравьев_толкин_ВК4,6,undirected
кистяковский_фицджеральд_бурный рейс,муравьев_толкин_ВК5,12,undirected
кистяковский_фицджеральд_бурный рейс,муравьев_толкин_ВК6,1,undirected
кистяковский_фицджеральд_бурный рейс,муравьев_фицджеральд_алмазная гора,167,undirected
королев_хоббит,каменкович каррик_толкин_ч1,30,undirected
королев_хоббит,каменкович каррик_толкин_ч2,8,undirected
королев_хоббит,кистяковский_тиле_остров одинокой сороки,2,undirected
королев_хоббит,кистяковский_тэрбер_женщина в западне,3,undirected
королев_хоббит,морозова_тиле_маяк молоткового мыса,2,undirected
королев_хоббит,муравьев кистяковский_толкин_ВК1,122,undirected
королев_хоббит,муравьев_толкин_ВК5,1,undirected
королев_хоббит,муравьев_фицджеральд_алмазная гора,85,undirected
королев_хоббит,рахманова_хоббит,210,undirected
морозова_тиле_маяк молоткового мыса,каменкович каррик_толкин_ч3,2,undirected
морозова_тиле_маяк молоткового мыса,кистяковский_тиле_остров одинокой сороки,93,undirected
морозова_тиле_маяк молоткового мыса,кистяковский_фицджеральд_бурный рейс,58,undirected
морозова_тиле_маяк молоткового мыса,королев_хоббит,2,undirected
морозова_тиле_маяк молоткового мыса,муравьев_о генри_гипотетический казус,1,undirected
морозова_тиле_маяк молоткового мыса,муравьев_тиле_штормик и мистер персиваль,152,undirected
морозова_тиле_маяк молоткового мыса,муравьев_толкин_ВК4,9,undirected
морозова_тиле_маяк молоткового мыса,муравьев_толкин_ВК6,16,undirected
морозова_тиле_маяк молоткового мыса,муравьев_фицджеральд_алмазная гора,188,undirected
морозова_тиле_маяк молоткового мыса,рахманова_хоббит,4,undirected
муравьев кистяковский_толкин_ВК1,каменкович каррик_толкин_ч1,208,undirected
муравьев кистяковский_толкин_ВК1,королев_хоббит,122,undirected
муравьев кистяковский_толкин_ВК1,муравьев_толкин_ВК5,15,undirected
муравьев кистяковский_толкин_ВК1,муравьев_фицджеральд_алмазная гора,37,undirected
муравьев кистяковский_толкин_ВК1,рахманова_хоббит,38,undirected
муравьев_о генри_гипотетический казус,кистяковский_тэрбер_женщина в западне,90,undirected
муравьев_о генри_гипотетический казус,кистяковский_фицджеральд_бурный рейс,109,undirected
муравьев_о генри_гипотетический казус,морозова_тиле_маяк молоткового мыса,1,undirected
муравьев_о генри_гипотетический казус,муравьев_тиле_штормик и мистер персиваль,20,undirected
муравьев_о генри_гипотетический казус,муравьев_толкин_ВК3,4,undirected
муравьев_о генри_гипотетический казус,муравьев_фицджеральд_алмазная гора,103,undirected
муравьев_о генри_гипотетический казус,рахманова_хоббит,10,undirected
муравьев_тиле_штормик и мистер персиваль,каменкович каррик_толкин_ч3,2,undirected
муравьев_тиле_штормик и мистер персиваль,кистяковский_тиле_остров одинокой сороки,119,undirected
муравьев_тиле_штормик и мистер персиваль,кистяковский_фицджеральд_бурный рейс,9,undirected
муравьев_тиле_штормик и мистер персиваль,морозова_тиле_маяк молоткового мыса,152,undirected
муравьев_тиле_штормик и мистер персиваль,муравьев_о генри_гипотетический казус,20,undirected
муравьев_тиле_штормик и мистер персиваль,муравьев_толкин_ВК3,4,undirected
муравьев_тиле_штормик и мистер персиваль,муравьев_толкин_ВК4,7,undirected
муравьев_тиле_штормик и мистер персиваль,муравьев_толкин_ВК5,1,undirected
муравьев_тиле_штормик и мистер персиваль,муравьев_фицджеральд_алмазная гора,68,undirected
муравьев_тиле_штормик и мистер персиваль,рахманова_хоббит,1,undirected
муравьев_толкин_ВК3,каменкович каррик_толкин_ч3,208,undirected
муравьев_толкин_ВК3,кистяковский_толкин_ВК2,4,undirected
муравьев_толкин_ВК3,муравьев_о генри_гипотетический казус,4,undirected
муравьев_толкин_ВК3,муравьев_тиле_штормик и мистер персиваль,4,undirected
муравьев_толкин_ВК3,муравьев_толкин_ВК4,64,undirected
муравьев_толкин_ВК3,муравьев_толкин_ВК5,168,undirected
муравьев_толкин_ВК3,муравьев_толкин_ВК6,24,undirected
муравьев_толкин_ВК3,муравьев_фицджеральд_алмазная гора,26,undirected
муравьев_толкин_ВК3,рахманова_хоббит,1,undirected
муравьев_толкин_ВК4,каменкович каррик_толкин_ч3,22,undirected
муравьев_толкин_ВК4,кистяковский_фицджеральд_бурный рейс,6,undirected
муравьев_толкин_ВК4,морозова_тиле_маяк молоткового мыса,9,undirected
муравьев_толкин_ВК4,муравьев_тиле_штормик и мистер персиваль,7,undirected
муравьев_толкин_ВК4,муравьев_толкин_ВК3,64,undirected
муравьев_толкин_ВК4,муравьев_толкин_ВК5,39,undirected
муравьев_толкин_ВК4,муравьев_толкин_ВК6,204,undirected
муравьев_толкин_ВК4,муравьев_фицджеральд_алмазная гора,17,undirected
муравьев_толкин_ВК5,каменкович каррик_толкин_ч2,10,undirected
муравьев_толкин_ВК5,каменкович каррик_толкин_ч3,14,undirected
муравьев_толкин_ВК5,кистяковский_тиле_остров одинокой сороки,11,undirected
муравьев_толкин_ВК5,кистяковский_толкин_ВК2,13,undirected
муравьев_толкин_ВК5,кистяковский_фицджеральд_бурный рейс,12,undirected
муравьев_толкин_ВК5,королев_хоббит,1,undirected
муравьев_толкин_ВК5,муравьев кистяковский_толкин_ВК1,15,undirected
муравьев_толкин_ВК5,муравьев_тиле_штормик и мистер персиваль,1,undirected
муравьев_толкин_ВК5,муравьев_толкин_ВК3,168,undirected
муравьев_толкин_ВК5,муравьев_толкин_ВК4,39,undirected
муравьев_толкин_ВК5,муравьев_толкин_ВК6,37,undirected
муравьев_толкин_ВК5,муравьев_фицджеральд_алмазная гора,77,undirected
муравьев_толкин_ВК5,рахманова_хоббит,4,undirected
муравьев_толкин_ВК6,каменкович каррик_толкин_ч3,4,undirected
муравьев_толкин_ВК6,кистяковский_фицджеральд_бурный рейс,1,undirected
муравьев_толкин_ВК6,морозова_тиле_маяк молоткового мыса,16,undirected
муравьев_толкин_ВК6,муравьев_толкин_ВК3,24,undirected
муравьев_толкин_ВК6,муравьев_толкин_ВК4,204,undirected
муравьев_толкин_ВК6,муравьев_толкин_ВК5,37,undirected
муравьев_толкин_ВК6,муравьев_фицджеральд_алмазная гора,25,undirected
муравьев_фицджеральд_алмазная гора,каменкович каррик_толкин_ч1,65,undirected
муравьев_фицджеральд_алмазная гора,каменкович каррик_толкин_ч2,46,undirected
муравьев_фицджеральд_алмазная гора,каменкович каррик_толкин_ч3,5,undirected
муравьев_фицджеральд_алмазная гора,кистяковский_тиле_остров одинокой сороки,54,undirected
муравьев_фицджеральд_алмазная гора,кистяковский_толкин_ВК2,63,undirected
муравьев_фицджеральд_алмазная гора,кистяковский_тэрбер_женщина в западне,79,undirected
муравьев_фицджеральд_алмазная гора,кистяковский_фицджеральд_бурный рейс,167,undirected
муравьев_фицджеральд_алмазная гора,королев_хоббит,85,undirected
муравьев_фицджеральд_алмазная гора,морозова_тиле_маяк молоткового мыса,188,undirected
муравьев_фицджеральд_алмазная гора,муравьев кистяковский_толкин_ВК1,37,undirected
муравьев_фицджеральд_алмазная гора,муравьев_о генри_гипотетический казус,103,undirected
муравьев_фицджеральд_алмазная гора,муравьев_тиле_штормик и мистер персиваль,68,undirected
муравьев_фицджеральд_алмазная гора,муравьев_толкин_ВК3,26,undirected
муравьев_фицджеральд_алмазная гора,муравьев_толкин_ВК4,17,undirected
муравьев_фицджеральд_алмазная гора,муравьев_толкин_ВК5,77,undirected
муравьев_фицджеральд_алмазная гора,муравьев_толкин_ВК6,25,undirected
муравьев_фицджеральд_алмазная гора,рахманова_хоббит,61,undirected
рахманова_хоббит,каменкович каррик_толкин_ч1,12,undirected
рахманова_хоббит,кистяковский_толкин_ВК2,1,undirected
рахманова_хоббит,королев_хоббит,210,undirected
рахманова_хоббит,морозова_тиле_маяк молоткового мыса,4,undirected
рахманова_хоббит,муравьев кистяковский_толкин_ВК1,38,undirected
рахманова_хоббит,муравьев_о генри_гипотетический казус,10,undirected
рахманова_хоббит,муравьев_тиле_штормик и мистер персиваль,1,undirected
рахманова_хоббит,муравьев_толкин_ВК3,1,undirected
рахманова_хоббит,муравьев_толкин_ВК5,4,undirected
рахманова_хоббит,муравьев_фицджеральд_алмазная гора,61,undirected
