Source,Target,Weight,Type
каменкович каррик_толкин_ч1,каменкович каррик_толкин_ч2,8,undirected
каменкович каррик_толкин_ч1,кистяковский_тиле_остров одинокой сороки,1,undirected
каменкович каррик_толкин_ч1,королев_хоббит,42,undirected
каменкович каррик_толкин_ч1,муравьев кистяковский_толкин_ВК1,228,undirected
каменкович каррик_толкин_ч1,муравьев_фицджеральд_алмазная гора,45,undirected
каменкович каррик_толкин_ч1,рахманова_хоббит,18,undirected
каменкович каррик_толкин_ч2,каменкович каррик_толкин_ч1,8,undirected
каменкович каррик_толкин_ч2,каменкович каррик_толкин_ч3,99,undirected
каменкович каррик_толкин_ч2,кистяковский_толкин_ВК2,224,undirected
каменкович каррик_толкин_ч2,кистяковский_тэрбер_женщина в западне,2,undirected
каменкович каррик_толкин_ч2,королев_хоббит,35,undirected
каменкович каррик_толкин_ч2,морозова_тиле_маяк молоткового мыса,1,undirected
каменкович каррик_толкин_ч2,муравьев_толкин_ВК3,1,undirected
каменкович каррик_толкин_ч2,муравьев_толкин_ВК5,4,undirected
каменкович каррик_толкин_ч2,муравьев_фицджеральд_алмазная гора,33,undirected
каменкович каррик_толкин_ч2,рахманова_хоббит,2,undirected
каменкович каррик_толкин_ч3,каменкович каррик_толкин_ч2,99,undirected
каменкович каррик_толкин_ч3,кистяковский_тиле_остров одинокой сороки,4,undirected
каменкович каррик_толкин_ч3,кистяковский_толкин_ВК2,6,undirected
каменкович каррик_толкин_ч3,кистяковский_тэрбер_женщина в западне,3,undirected
каменкович каррик_толкин_ч3,морозова_тиле_маяк молоткового мыса,3,undirected
каменкович каррик_толкин_ч3,муравьев_толкин_ВК3,228,undirected
каменкович каррик_толкин_ч3,муравьев_толкин_ВК4,29,undirected
каменкович каррик_толкин_ч3,муравьев_толкин_ВК5,20,undirected
каменкович каррик_толкин_ч3,муравьев_толкин_ВК6,1,undirected
каменкович каррик_толкин_ч3,муравьев_фицджеральд_алмазная гора,4,undirected
кистяковский_тиле_остров одинокой сороки,каменкович каррик_толкин_ч1,1,undirected
кистяковский_тиле_остров одинокой сороки,каменкович каррик_толкин_ч3,4,undirected
кистяковский_тиле_остров одинокой сороки,кистяковский_толкин_ВК2,3,undirected
кистяковский_тиле_остров одинокой сороки,кистяковский_фицджеральд_бурный рейс,43,undirected
кистяковский_тиле_остров одинокой сороки,королев_хоббит,1,undirected
кистяковский_тиле_остров одинокой сороки,морозова_тиле_маяк молоткового мыса,58,undirected
кистяковский_тиле_остров одинокой сороки,муравьев_тиле_штормик и мистер персиваль,141,undirected
кистяковский_тиле_остров одинокой сороки,муравьев_толкин_ВК5,3,undirected
кистяковский_тиле_остров одинокой сороки,муравьев_фицджеральд_алмазная гора,49,undirected
кистяковский_толкин_ВК2,каменкович каррик_толкин_ч2,224,undirected
кистяковский_толкин_ВК2,каменкович каррик_толкин_ч3,6,undirected
кистяковский_толкин_ВК2,кистяковский_тиле_остров одинокой сороки,3,undirected
кистяковский_толкин_ВК2,кистяковский_фицджеральд_бурный рейс,42,undirected
кистяковский_толкин_ВК2,королев_хоббит,9,undirected
кистяковский_толкин_ВК2,муравьев_толкин_ВК3,5,undirected
кистяковский_толкин_ВК2,муравьев_толкин_ВК5,16,undirected
кистяковский_толкин_ВК2,муравьев_фицджеральд_алмазная гора,57,undirected
кистяковский_толкин_ВК2,рахманова_хоббит,5,undirected
кистяковский_тэрбер_женщина в западне,каменкович каррик_толкин_ч2,2,undirected
кистяковский_тэрбер_женщина в западне,каменкович каррик_толкин_ч3,3,undirected
кистяковский_тэрбер_женщина в западне,кистяковский_фицджеральд_бурный рейс,61,undirected
кистяковский_тэрбер_женщина в западне,королев_хоббит,6,undirected
кистяковский_тэрбер_женщина в западне,муравьев_о генри_гипотетический казус,85,undirected
кистяковский_тэрбер_женщина в западне,муравьев_фицджеральд_алмазная гора,68,undirected
кистяковский_тэрбер_женщина в западне,рахманова_хоббит,3,undirected
кистяковский_фицджеральд_бурный рейс,кистяковский_тиле_остров одинокой сороки,43,undirected
кистяковский_фицджеральд_бурный рейс,кистяковский_толкин_ВК2,42,undirected
кистяковский_фицджеральд_бурный рейс,кистяковский_тэрбер_женщина в западне,61,undirected
кистяковский_фицджеральд_бурный рейс,морозова_тиле_маяк молоткового мыса,86,undirected
кистяковский_фицджеральд_бурный рейс,муравьев_о генри_гипотетический казус,88,undirected
кистяковский_фицджеральд_бурный рейс,муравьев_тиле_штормик и мистер персиваль,15,undirected
кистяковский_фицджеральд_бурный рейс,муравьев_толкин_ВК4,2,undirected
кистяковский_фицджеральд_бурный рейс,муравьев_толкин_ВК5,1,undirected
кистяковский_фицджеральд_бурный рейс,муравьев_фицджеральд_алмазная гора,183,undirected
королев_хоббит,каменкович каррик_толкин_ч1,42,undirected
королев_хоббит,каменкович каррик_толкин_ч2,35,undirected
королев_хоббит,кистяковский_тиле_остров одинокой сороки,1,undirected
королев_хоббит,кистяковский_толкин_ВК2,9,undirected
королев_хоббит,кистяковский_тэрбер_женщина в западне,6,undirected
королев_хоббит,морозова_тиле_маяк молоткового мыса,8,undirected
королев_хоббит,муравьев кистяковский_толкин_ВК1,139,undirected
королев_хоббит,муравьев_о генри_гипотетический казус,9,undirected
королев_хоббит,муравьев_толкин_ВК5,1,undirected
королев_хоббит,муравьев_фицджеральд_алмазная гора,81,undirected
королев_хоббит,рахманова_хоббит,228,undirected
морозова_тиле_маяк молоткового мыса,каменкович каррик_толкин_ч2,1,undirected
морозова_тиле_маяк молоткового мыса,каменкович каррик_толкин_ч3,3,undirected
морозова_тиле_маяк молоткового мыса,кистяковский_тиле_остров одинокой сороки,58,undirected
морозова_тиле_маяк молоткового мыса,кистяковский_фицджеральд_бурный рейс,86,undirected
морозова_тиле_маяк молоткового мыса,королев_хоббит,8,undirected
морозова_тиле_маяк молоткового мыса,муравьев_о генри_гипотетический казус,11,undirected
морозова_тиле_маяк молоткового мыса,муравьев_тиле_штормик и мистер персиваль,196,undirected
морозова_тиле_маяк молоткового мыса,муравьев_толкин_ВК4,3,undirected
морозова_тиле_маяк молоткового мыса,муравьев_толкин_ВК5,1,undirected
морозова_тиле_маяк молоткового мыса,муравьев_толкин_ВК6,13,undirected
морозова_тиле_маяк молоткового мыса,муравьев_фицджеральд_алмазная гора,165,undirected
морозова_тиле_маяк молоткового мыса,рахманова_хоббит,4,undirected
муравьев кистяковский_толкин_ВК1,каменкович каррик_толкин_ч1,228,undirected
муравьев кистяковский_толкин_ВК1,королев_хоббит,139,undirected
муравьев кистяковский_толкин_ВК1,муравьев_толкин_ВК5,12,undirected
муравьев кистяковский_толкин_ВК1,муравьев_фицджеральд_алмазная гора,24,undirected
муравьев кистяковский_толкин_ВК1,рахманова_хоббит,72,undirected
муравьев_о генри_гипотетический казус,кистяковский_тэрбер_женщина в западне,85,undirected
муравьев_о генри_гипотетический казус,кистяковский_фицджеральд_бурный рейс,88,undirected
муравьев_о генри_гипотетический казус,королев_хоббит,9,undirected
муравьев_о генри_гипотетический казус,морозова_тиле_маяк молоткового мыса,11,undirected
муравьев_о генри_гипотетический казус,муравьев_тиле_штормик и мистер персиваль,8,undirected
муравьев_о генри_гипотетический казус,муравьев_толкин_ВК3,4,undirected
муравьев_о генри_гипотетический казус,муравьев_толкин_ВК5,2,undirected
муравьев_о генри_гипотетический казус,муравьев_фицджеральд_алмазная гора,119,undirected
муравьев_о генри_гипотетический казус,рахманова_хоббит,17,undirected
муравьев_тиле_штормик и мистер персиваль,кистяковский_тиле_остров одинокой сороки,141,undirected
муравьев_тиле_штормик и мистер персиваль,кистяковский_фицджеральд_бурный рейс,15,undirected
муравьев_тиле_штормик и мистер персиваль,морозова_тиле_маяк молоткового мыса,196,undirected
муравьев_тиле_штормик и мистер персиваль,муравьев_о генри_гипотетический казус,8,undirected
муравьев_тиле_штормик и мистер персиваль,муравьев_толкин_ВК3,1,undirected
муравьев_тиле_штормик и мистер персиваль,муравьев_толкин_ВК4,22,undirected
муравьев_тиле_штормик и мистер персиваль,муравьев_толкин_ВК5,3,undirected
муравьев_тиле_штормик и мистер персиваль,муравьев_фицджеральд_алмазная гора,68,undirected
муравьев_тиле_штормик и мистер персиваль,рахманова_хоббит,7,undirected
муравьев_толкин_ВК3,каменкович каррик_толкин_ч2,1,undirected
муравьев_толкин_ВК3,каменкович каррик_толкин_ч3,228,undirected
