Source,Target,Weight,Type
каменкович каррик_толкин_ч1,кистяковский_тиле_остров одинокой сороки,1,undirected
каменкович каррик_толкин_ч1,королев_хоббит,44,undirected
каменкович каррик_толкин_ч1,муравьев кистяковский_толкин_ВК1,227,undirected
каменкович каррик_толкин_ч1,муравьев_фицджеральд_алмазная гора,65,undirected
каменкович каррик_толкин_ч1,рахманова_хоббит,4,undirected
каменкович каррик_толкин_ч2,каменкович каррик_толкин_ч3,120,undirected
каменкович каррик_толкин_ч2,кистяковский_толкин_ВК2,225,undirected
каменкович каррик_толкин_ч2,кистяковский_тэрбер_женщина в западне,2,undirected
каменкович каррик_толкин_ч2,королев_хоббит,19,undirected
каменкович каррик_толкин_ч2,морозова_тиле_маяк молоткового мыса,1,undirected
каменкович каррик_толкин_ч2,муравьев_толкин_ВК5,10,undirected
каменкович каррик_толкин_ч2,муравьев_фицджеральд_алмазная гора,34,undirected
каменкович каррик_толкин_ч3,каменкович каррик_толкин_ч2,120,undirected
каменкович каррик_толкин_ч3,кистяковский_толкин_ВК2,8,undirected
каменкович каррик_толкин_ч3,кистяковский_тэрбер_женщина в западне,3,undirected
каменкович каррик_толкин_ч3,королев_хоббит,2,undirected
каменкович каррик_толкин_ч3,морозова_тиле_маяк молоткового мыса,4,undirected
каменкович каррик_толкин_ч3,муравьев_тиле_штормик и мистер персиваль,3,undirected
каменкович каррик_толкин_ч3,муравьев_толкин_ВК3,226,undirected
каменкович каррик_толкин_ч3,муравьев_толкин_ВК4,27,undirected
каменкович каррик_толкин_ч3,муравьев_толкин_ВК5,18,undirected
каменкович каррик_толкин_ч3,муравьев_толкин_ВК6,4,undirected
каменкович каррик_толкин_ч3,муравьев_фицджеральд_алмазная гора,3,undirected
кистяковский_тиле_остров одинокой сороки,каменкович каррик_толкин_ч1,1,undirected
кистяковский_тиле_остров одинокой сороки,кистяковский_толкин_ВК2,1,undirected
кистяковский_тиле_остров одинокой сороки,кистяковский_тэрбер_женщина в западне,4,undirected
кистяковский_тиле_остров одинокой сороки,кистяковский_фицджеральд_бурный рейс,37,undirected
кистяковский_тиле_остров одинокой сороки,королев_хоббит,5,undirected
кистяковский_тиле_остров одинокой сороки,морозова_тиле_маяк молоткового мыса,55,undirected
кистяковский_тиле_остров одинокой сороки,муравьев_о генри_гипотетический казус,1,undirected
кистяковский_тиле_остров одинокой сороки,муравьев_тиле_штормик и мистер персиваль,128,undirected
кистяковский_тиле_остров одинокой сороки,муравьев_толкин_ВК5,3,undirected
кистяковский_тиле_остров одинокой сороки,муравьев_фицджеральд_алмазная гора,62,undirected
кистяковский_толкин_ВК2,каменкович каррик_толкин_ч2,225,undirected
кистяковский_толкин_ВК2,каменкович каррик_толкин_ч3,8,undirected
кистяковский_толкин_ВК2,кистяковский_тиле_остров одинокой сороки,1,undirected
кистяковский_толкин_ВК2,кистяковский_фицджеральд_бурный рейс,25,undirected
кистяковский_толкин_ВК2,муравьев_толкин_ВК3,6,undirected
кистяковский_толкин_ВК2,муравьев_толкин_ВК5,31,undirected
кистяковский_толкин_ВК2,муравьев_фицджеральд_алмазная гора,64,undirected
кистяковский_толкин_ВК2,рахманова_хоббит,5,undirected
кистяковский_тэрбер_женщина в западне,каменкович каррик_толкин_ч2,2,undirected
кистяковский_тэрбер_женщина в западне,каменкович каррик_толкин_ч3,3,undirected
кистяковский_тэрбер_женщина в западне,кистяковский_тиле_остров одинокой сороки,4,undirected
кистяковский_тэрбер_женщина в западне,кистяковский_фицджеральд_бурный рейс,39,undirected
кистяковский_тэрбер_женщина в западне,королев_хоббит,4,undirected
кистяковский_тэрбер_женщина в западне,муравьев_о генри_гипотетический казус,84,undirected
кистяковский_тэрбер_женщина в западне,муравьев_фицджеральд_алмазная гора,89,undirected
кистяковский_тэрбер_женщина в западне,рахманова_хоббит,3,undirected
кистяковский_фицджеральд_бурный рейс,кистяковский_тиле_остров одинокой сороки,37,undirected
кистяковский_фицджеральд_бурный рейс,кистяковский_толкин_ВК2,25,undirected
кистяковский_фицджеральд_бурный рейс,кистяковский_тэрбер_женщина в западне,39,undirected
кистяковский_фицджеральд_бурный рейс,морозова_тиле_маяк молоткового мыса,90,undirected
кистяковский_фицджеральд_бурный рейс,муравьев_о генри_гипотетический казус,106,undirected
кистяковский_фицджеральд_бурный рейс,муравьев_тиле_штормик и мистер персиваль,4,undirected
кистяковский_фицджеральд_бурный рейс,муравьев_фицджеральд_алмазная гора,197,undirected
королев_хоббит,каменкович каррик_толкин_ч1,44,undirected
королев_хоббит,каменкович каррик_толкин_ч2,19,undirected
королев_хоббит,каменкович каррик_толкин_ч3,2,undirected
королев_хоббит,кистяковский_тиле_остров одинокой сороки,5,undirected
королев_хоббит,кистяковский_тэрбер_женщина в западне,4,undirected
королев_хоббит,морозова_тиле_маяк молоткового мыса,4,undirected
королев_хоббит,муравьев кистяковский_толкин_ВК1,144,undirected
королев_хоббит,муравьев_фицджеральд_алмазная гора,67,undirected
королев_хоббит,рахманова_хоббит,228,undirected
морозова_тиле_маяк молоткового мыса,каменкович каррик_толкин_ч2,1,undirected
морозова_тиле_маяк молоткового мыса,каменкович каррик_толкин_ч3,4,undirected
морозова_тиле_маяк молоткового мыса,кистяковский_тиле_остров одинокой сороки,55,undirected
морозова_тиле_маяк молоткового мыса,кистяковский_фицджеральд_бурный рейс,90,undirected
морозова_тиле_маяк молоткового мыса,королев_хоббит,4,undirected
морозова_тиле_маяк молоткового мыса,муравьев_о генри_гипотетический казус,7,undirected
морозова_тиле_маяк молоткового мыса,муравьев_тиле_штормик и мистер персиваль,188,undirected
морозова_тиле_маяк молоткового мыса,муравьев_толкин_ВК4,1,undirected
морозова_тиле_маяк молоткового мыса,муравьев_толкин_ВК5,1,undirected
морозова_тиле_маяк молоткового мыса,муравьев_толкин_ВК6,18,undirected
морозова_тиле_маяк молоткового мыса,муравьев_фицджеральд_алмазная гора,177,undirected
морозова_тиле_маяк молоткового мыса,рахманова_хоббит,6,undirected
муравьев кистяковский_толкин_ВК1,каменкович каррик_толкин_ч1,227,undirected
муравьев кистяковский_толкин_ВК1,королев_хоббит,144,undirected
муравьев кистяковский_толкин_ВК1,муравьев_толкин_ВК5,1,undirected
муравьев кистяковский_толкин_ВК1,муравьев_фицджеральд_алмазная гора,11,undirected
муравьев кистяковский_толкин_ВК1,рахманова_хоббит,59,undirected
муравьев_о генри_гипотетический казус,кистяковский_тиле_остров одинокой сороки,1,undirected
муравьев_о генри_гипотетический казус,кистяковский_тэрбер_женщина в западне,84,undirected
муравьев_о генри_гипотетический казус,кистяковский_фицджеральд_бурный рейс,106,undirected
муравьев_о генри_гипотетический казус,морозова_тиле_маяк молоткового мыса,7,undirected
муравьев_о генри_гипотетический казус,муравьев_тиле_штормик и мистер персиваль,15,undirected
муравьев_о генри_гипотетический казус,муравьев_толкин_ВК3,3,undirected
муравьев_о генри_гипотетический казус,муравьев_фицджеральд_алмазная гора,130,undirected
муравьев_о генри_гипотетический казус,рахманова_хоббит,20,undirected
муравьев_тиле_штормик и мистер персиваль,каменкович каррик_толкин_ч3,3,undirected
муравьев_тиле_штормик и мистер персиваль,кистяковский_тиле_остров одинокой сороки,128,undirected
муравьев_тиле_штормик и мистер персиваль,кистяковский_фицджеральд_бурный рейс,4,undirected
муравьев_тиле_штормик и мистер персиваль,морозова_тиле_маяк молоткового мыса,188,undirected
муравьев_тиле_штормик и мистер персиваль,муравьев_о генри_гипотетический казус,15,undirected
муравьев_тиле_штормик и мистер персиваль,муравьев_толкин_ВК3,7,undirected
муравьев_тиле_штормик и мистер персиваль,муравьев_толкин_ВК4,8,undirected
муравьев_тиле_штормик и мистер персиваль,муравьев_толкин_ВК5,1,undirected
муравьев_тиле_штормик и мистер персиваль,муравьев_фицджеральд_алмазная гора,70,undirected
муравьев_тиле_штормик и мистер персиваль,рахманова_хоббит,6,undirected
муравьев_толкин_ВК3,каменкович каррик_толкин_ч3,226,undirected
муравьев_толкин_ВК3,кистяковский_толкин_ВК2,6,undirected
