


каменкович каррик_толкин_ч1_1 	-->	 муравьев
каменкович каррик_толкин_ч1_2 	-->	 муравьев
каменкович каррик_толкин_ч1_3 	-->	 муравьев
каменкович каррик_толкин_ч2_1 	-->	 кистяковский
каменкович каррик_толкин_ч2_2 	-->	 кистяковский
каменкович каррик_толкин_ч2_3 	-->	 кистяковский
каменкович каррик_толкин_ч3_1 	-->	 муравьев
каменкович каррик_толкин_ч3_2 	-->	 муравьев
каменкович каррик_толкин_ч3_3 	-->	 кистяковский
кистяковский_тиле_остров одинокой сороки_2 	-->	 муравьев
кистяковский_тиле_остров одинокой сороки_3 	-->	 муравьев
королев_хоббит_1 	-->	 муравьев
королев_хоббит_2 	-->	 муравьев
королев_хоббит_3 	-->	 муравьев
морозова_тиле_маяк молоткового мыса_1 	-->	 муравьев
морозова_тиле_маяк молоткового мыса_2 	-->	 кистяковский
морозова_тиле_маяк молоткового мыса_3 	-->	 муравьев
муравьев кистяковский_толкин_ВК1_1 	-->	 муравьев
муравьев кистяковский_толкин_ВК1_2 	-->	 муравьев
муравьев кистяковский_толкин_ВК1_3 	-->	 муравьев
муравьев_тиле_штормик и мистер персиваль_1 	-->	 кистяковский
рахманова_хоббит_1 	-->	 муравьев
рахманова_хоббит_2 	-->	 кистяковский
рахманова_хоббит_3 	-->	 муравьев

100 MFW , culled @ 0%,  3 of 6	(50%)



каменкович каррик_толкин_ч1_1 	-->	 муравьев
каменкович каррик_толкин_ч1_2 	-->	 муравьев
каменкович каррик_толкин_ч1_3 	-->	 кистяковский
каменкович каррик_толкин_ч2_1 	-->	 кистяковский
каменкович каррик_толкин_ч2_2 	-->	 кистяковский
каменкович каррик_толкин_ч2_3 	-->	 кистяковский
каменкович каррик_толкин_ч3_1 	-->	 муравьев
каменкович каррик_толкин_ч3_2 	-->	 муравьев
каменкович каррик_толкин_ч3_3 	-->	 муравьев
кистяковский_тиле_остров одинокой сороки_1 	-->	 муравьев
кистяковский_тиле_остров одинокой сороки_2 	-->	 муравьев
кистяковский_тиле_остров одинокой сороки_3 	-->	 муравьев
королев_хоббит_1 	-->	 муравьев
королев_хоббит_2 	-->	 муравьев
королев_хоббит_3 	-->	 муравьев
морозова_тиле_маяк молоткового мыса_1 	-->	 муравьев
морозова_тиле_маяк молоткового мыса_2 	-->	 муравьев
морозова_тиле_маяк молоткового мыса_3 	-->	 муравьев
муравьев кистяковский_толкин_ВК1_1 	-->	 муравьев
муравьев кистяковский_толкин_ВК1_2 	-->	 муравьев
муравьев кистяковский_толкин_ВК1_3 	-->	 муравьев
рахманова_хоббит_1 	-->	 муравьев
рахманова_хоббит_2 	-->	 муравьев
рахманова_хоббит_3 	-->	 муравьев

200 MFW , culled @ 0%,  3 of 6	(50%)



каменкович каррик_толкин_ч1_1 	-->	 муравьев
каменкович каррик_толкин_ч1_2 	-->	 муравьев
каменкович каррик_толкин_ч1_3 	-->	 кистяковский
каменкович каррик_толкин_ч2_1 	-->	 кистяковский
каменкович каррик_толкин_ч2_2 	-->	 кистяковский
