Source,Target,Weight,Type
каменкович каррик_толкин_ч1,каменкович каррик_толкин_ч2,6,undirected
каменкович каррик_толкин_ч1,королев_хоббит,59,undirected
каменкович каррик_толкин_ч1,муравьев кистяковский_толкин_ВК1,227,undirected
каменкович каррик_толкин_ч1,муравьев_фицджеральд_алмазная гора,11,undirected
каменкович каррик_толкин_ч1,рахманова_хоббит,44,undirected
каменкович каррик_толкин_ч2,каменкович каррик_толкин_ч1,6,undirected
каменкович каррик_толкин_ч2,каменкович каррик_толкин_ч3,50,undirected
каменкович каррик_толкин_ч2,кистяковский_толкин_ВК2,238,undirected
каменкович каррик_толкин_ч2,кистяковский_тэрбер_женщина в западне,3,undirected
каменкович каррик_толкин_ч2,королев_хоббит,59,undirected
каменкович каррик_толкин_ч2,морозова_тиле_маяк молоткового мыса,2,undirected
каменкович каррик_толкин_ч2,муравьев_толкин_ВК5,3,undirected
каменкович каррик_толкин_ч2,муравьев_фицджеральд_алмазная гора,5,undirected
каменкович каррик_толкин_ч2,рахманова_хоббит,71,undirected
каменкович каррик_толкин_ч3,каменкович каррик_толкин_ч2,50,undirected
каменкович каррик_толкин_ч3,кистяковский_тиле_остров одинокой сороки,4,undirected
каменкович каррик_толкин_ч3,кистяковский_толкин_ВК2,26,undirected
каменкович каррик_толкин_ч3,королев_хоббит,2,undirected
каменкович каррик_толкин_ч3,морозова_тиле_маяк молоткового мыса,10,undirected
каменкович каррик_толкин_ч3,муравьев_толкин_ВК3,240,undirected
каменкович каррик_толкин_ч3,муравьев_толкин_ВК4,11,undirected
каменкович каррик_толкин_ч3,муравьев_толкин_ВК5,34,undirected
кистяковский_тиле_остров одинокой сороки,каменкович каррик_толкин_ч3,4,undirected
кистяковский_тиле_остров одинокой сороки,кистяковский_толкин_ВК2,16,undirected
кистяковский_тиле_остров одинокой сороки,кистяковский_тэрбер_женщина в западне,3,undirected
кистяковский_тиле_остров одинокой сороки,кистяковский_фицджеральд_бурный рейс,134,undirected
кистяковский_тиле_остров одинокой сороки,морозова_тиле_маяк молоткового мыса,35,undirected
кистяковский_тиле_остров одинокой сороки,муравьев_тиле_штормик и мистер персиваль,157,undirected
кистяковский_тиле_остров одинокой сороки,муравьев_фицджеральд_алмазная гора,21,undirected
кистяковский_толкин_ВК2,каменкович каррик_толкин_ч2,238,undirected
кистяковский_толкин_ВК2,каменкович каррик_толкин_ч3,26,undirected
кистяковский_толкин_ВК2,кистяковский_тиле_остров одинокой сороки,16,undirected
кистяковский_толкин_ВК2,кистяковский_фицджеральд_бурный рейс,39,undirected
кистяковский_толкин_ВК2,королев_хоббит,1,undirected
кистяковский_толкин_ВК2,муравьев_толкин_ВК3,6,undirected
кистяковский_толкин_ВК2,муравьев_толкин_ВК5,13,undirected
кистяковский_толкин_ВК2,муравьев_фицджеральд_алмазная гора,47,undirected
кистяковский_толкин_ВК2,рахманова_хоббит,12,undirected
кистяковский_тэрбер_женщина в западне,каменкович каррик_толкин_ч2,3,undirected
кистяковский_тэрбер_женщина в западне,кистяковский_тиле_остров одинокой сороки,3,undirected
кистяковский_тэрбер_женщина в западне,кистяковский_фицджеральд_бурный рейс,46,undirected
кистяковский_тэрбер_женщина в западне,королев_хоббит,7,undirected
кистяковский_тэрбер_женщина в западне,муравьев_о генри_гипотетический казус,85,undirected
кистяковский_тэрбер_женщина в западне,муравьев_толкин_ВК5,8,undirected
кистяковский_тэрбер_женщина в западне,муравьев_толкин_ВК6,1,undirected
кистяковский_тэрбер_женщина в западне,муравьев_фицджеральд_алмазная гора,77,undirected
кистяковский_тэрбер_женщина в западне,рахманова_хоббит,10,undirected
кистяковский_фицджеральд_бурный рейс,кистяковский_тиле_остров одинокой сороки,134,undirected
кистяковский_фицджеральд_бурный рейс,кистяковский_толкин_ВК2,39,undirected
кистяковский_фицджеральд_бурный рейс,кистяковский_тэрбер_женщина в западне,46,undirected
кистяковский_фицджеральд_бурный рейс,морозова_тиле_маяк молоткового мыса,103,undirected
кистяковский_фицджеральд_бурный рейс,муравьев_о генри_гипотетический казус,71,undirected
кистяковский_фицджеральд_бурный рейс,муравьев_тиле_штормик и мистер персиваль,11,undirected
кистяковский_фицджеральд_бурный рейс,муравьев_фицджеральд_алмазная гора,137,undirected
королев_хоббит,каменкович каррик_толкин_ч1,59,undirected
королев_хоббит,каменкович каррик_толкин_ч2,59,undirected
королев_хоббит,каменкович каррик_толкин_ч3,2,undirected
королев_хоббит,кистяковский_толкин_ВК2,1,undirected
королев_хоббит,кистяковский_тэрбер_женщина в западне,7,undirected
королев_хоббит,морозова_тиле_маяк молоткового мыса,11,undirected
королев_хоббит,муравьев кистяковский_толкин_ВК1,127,undirected
королев_хоббит,муравьев_о генри_гипотетический казус,7,undirected
королев_хоббит,муравьев_толкин_ВК5,12,undirected
королев_хоббит,муравьев_фицджеральд_алмазная гора,118,undirected
королев_хоббит,рахманова_хоббит,240,undirected
морозова_тиле_маяк молоткового мыса,каменкович каррик_толкин_ч2,2,undirected
морозова_тиле_маяк молоткового мыса,каменкович каррик_толкин_ч3,10,undirected
морозова_тиле_маяк молоткового мыса,кистяковский_тиле_остров одинокой сороки,35,undirected
морозова_тиле_маяк молоткового мыса,кистяковский_фицджеральд_бурный рейс,103,undirected
морозова_тиле_маяк молоткового мыса,королев_хоббит,11,undirected
морозова_тиле_маяк молоткового мыса,муравьев_о генри_гипотетический казус,7,undirected
морозова_тиле_маяк молоткового мыса,муравьев_тиле_штормик и мистер персиваль,175,undirected
морозова_тиле_маяк молоткового мыса,муравьев_толкин_ВК4,18,undirected
морозова_тиле_маяк молоткового мыса,муравьев_толкин_ВК5,21,undirected
морозова_тиле_маяк молоткового мыса,муравьев_толкин_ВК6,19,undirected
морозова_тиле_маяк молоткового мыса,муравьев_фицджеральд_алмазная гора,220,undirected
муравьев кистяковский_толкин_ВК1,каменкович каррик_толкин_ч1,227,undirected
муравьев кистяковский_толкин_ВК1,королев_хоббит,127,undirected
муравьев кистяковский_толкин_ВК1,муравьев_толкин_ВК5,7,undirected
муравьев кистяковский_толкин_ВК1,муравьев_фицджеральд_алмазная гора,25,undirected
муравьев кистяковский_толкин_ВК1,рахманова_хоббит,106,undirected
муравьев_о генри_гипотетический казус,кистяковский_тэрбер_женщина в западне,85,undirected
муравьев_о генри_гипотетический казус,кистяковский_фицджеральд_бурный рейс,71,undirected
муравьев_о генри_гипотетический казус,королев_хоббит,7,undirected
муравьев_о генри_гипотетический казус,морозова_тиле_маяк молоткового мыса,7,undirected
муравьев_о генри_гипотетический казус,муравьев_фицджеральд_алмазная гора,119,undirected
муравьев_о генри_гипотетический казус,рахманова_хоббит,36,undirected
муравьев_тиле_штормик и мистер персиваль,кистяковский_тиле_остров одинокой сороки,157,undirected
муравьев_тиле_штормик и мистер персиваль,кистяковский_фицджеральд_бурный рейс,11,undirected
муравьев_тиле_штормик и мистер персиваль,морозова_тиле_маяк молоткового мыса,175,undirected
муравьев_тиле_штормик и мистер персиваль,муравьев_толкин_ВК4,6,undirected
муравьев_тиле_штормик и мистер персиваль,муравьев_толкин_ВК5,2,undirected
муравьев_тиле_штормик и мистер персиваль,муравьев_фицджеральд_алмазная гора,46,undirected
муравьев_тиле_штормик и мистер персиваль,рахманова_хоббит,2,undirected
муравьев_толкин_ВК3,каменкович каррик_толкин_ч3,240,undirected
муравьев_толкин_ВК3,кистяковский_толкин_ВК2,6,undirected
муравьев_толкин_ВК3,муравьев_толкин_ВК4,94,undirected
муравьев_толкин_ВК3,муравьев_толкин_ВК5,200,undirected
муравьев_толкин_ВК3,муравьев_толкин_ВК6,14,undirected
муравьев_толкин_ВК4,каменкович каррик_толкин_ч3,11,undirected
муравьев_толкин_ВК4,морозова_тиле_маяк молоткового мыса,18,undirected
муравьев_толкин_ВК4,муравьев_тиле_штормик и мистер персиваль,6,undirected
муравьев_толкин_ВК4,муравьев_толкин_ВК3,94,undirected
муравьев_толкин_ВК4,муравьев_толкин_ВК5,84,undirected
муравьев_толкин_ВК4,муравьев_толкин_ВК6,240,undirected
муравьев_толкин_ВК4,муравьев_фицджеральд_алмазная гора,3,undirected
муравьев_толкин_ВК5,каменкович каррик_толкин_ч2,3,undirected
муравьев_толкин_ВК5,каменкович каррик_толкин_ч3,34,undirected
муравьев_толкин_ВК5,кистяковский_толкин_ВК2,13,undirected
муравьев_толкин_ВК5,кистяковский_тэрбер_женщина в западне,8,undirected
муравьев_толкин_ВК5,королев_хоббит,12,undirected
муравьев_толкин_ВК5,морозова_тиле_маяк молоткового мыса,21,undirected
муравьев_толкин_ВК5,муравьев кистяковский_толкин_ВК1,7,undirected
муравьев_толкин_ВК5,муравьев_тиле_штормик и мистер персиваль,2,undirected
муравьев_толкин_ВК5,муравьев_толкин_ВК3,200,undirected
муравьев_толкин_ВК5,муравьев_толкин_ВК4,84,undirected
муравьев_толкин_ВК5,муравьев_толкин_ВК6,70,undirected
муравьев_толкин_ВК5,муравьев_фицджеральд_алмазная гора,79,undirected
муравьев_толкин_ВК5,рахманова_хоббит,1,undirected
муравьев_толкин_ВК6,кистяковский_тэрбер_женщина в западне,1,undirected
муравьев_толкин_ВК6,морозова_тиле_маяк молоткового мыса,19,undirected
муравьев_толкин_ВК6,муравьев_толкин_ВК3,14,undirected
муравьев_толкин_ВК6,муравьев_толкин_ВК4,240,undirected
муравьев_толкин_ВК6,муравьев_толкин_ВК5,70,undirected
муравьев_толкин_ВК6,муравьев_фицджеральд_алмазная гора,18,undirected
муравьев_фицджеральд_алмазная гора,каменкович каррик_толкин_ч1,11,undirected
муравьев_фицджеральд_алмазная гора,каменкович каррик_толкин_ч2,5,undirected
муравьев_фицджеральд_алмазная гора,кистяковский_тиле_остров одинокой сороки,21,undirected
