Source,Target,Weight,Type
каменкович каррик_толкин_ч1,королев_хоббит,77,undirected
каменкович каррик_толкин_ч1,муравьев кистяковский_толкин_ВК1,231,undirected
каменкович каррик_толкин_ч1,рахманова_хоббит,43,undirected
каменкович каррик_толкин_ч2,каменкович каррик_толкин_ч3,42,undirected
каменкович каррик_толкин_ч2,кистяковский_толкин_ВК2,239,undirected
каменкович каррик_толкин_ч2,кистяковский_тэрбер_женщина в западне,5,undirected
каменкович каррик_толкин_ч2,королев_хоббит,52,undirected
каменкович каррик_толкин_ч2,рахманова_хоббит,100,undirected
каменкович каррик_толкин_ч3,каменкович каррик_толкин_ч2,42,undirected
каменкович каррик_толкин_ч3,кистяковский_тиле_остров одинокой сороки,22,undirected
каменкович каррик_толкин_ч3,кистяковский_толкин_ВК2,38,undirected
каменкович каррик_толкин_ч3,кистяковский_фицджеральд_бурный рейс,4,undirected
каменкович каррик_толкин_ч3,королев_хоббит,7,undirected
каменкович каррик_толкин_ч3,морозова_тиле_маяк молоткового мыса,11,undirected
каменкович каррик_толкин_ч3,муравьев_толкин_ВК3,240,undirected
каменкович каррик_толкин_ч3,муравьев_толкин_ВК5,39,undirected
кистяковский_тиле_остров одинокой сороки,каменкович каррик_толкин_ч3,22,undirected
кистяковский_тиле_остров одинокой сороки,кистяковский_толкин_ВК2,18,undirected
кистяковский_тиле_остров одинокой сороки,кистяковский_фицджеральд_бурный рейс,128,undirected
кистяковский_тиле_остров одинокой сороки,морозова_тиле_маяк молоткового мыса,37,undirected
кистяковский_тиле_остров одинокой сороки,муравьев_тиле_штормик и мистер персиваль,178,undirected
кистяковский_тиле_остров одинокой сороки,муравьев_фицджеральд_алмазная гора,3,undirected
кистяковский_толкин_ВК2,каменкович каррик_толкин_ч2,239,undirected
кистяковский_толкин_ВК2,каменкович каррик_толкин_ч3,38,undirected
кистяковский_толкин_ВК2,кистяковский_тиле_остров одинокой сороки,18,undirected
кистяковский_толкин_ВК2,кистяковский_фицджеральд_бурный рейс,29,undirected
кистяковский_толкин_ВК2,королев_хоббит,3,undirected
кистяковский_толкин_ВК2,муравьев_толкин_ВК5,33,undirected
кистяковский_толкин_ВК2,муравьев_фицджеральд_алмазная гора,35,undirected
кистяковский_тэрбер_женщина в западне,каменкович каррик_толкин_ч2,5,undirected
кистяковский_тэрбер_женщина в западне,кистяковский_фицджеральд_бурный рейс,27,undirected
кистяковский_тэрбер_женщина в западне,королев_хоббит,4,undirected
кистяковский_тэрбер_женщина в западне,муравьев_о генри_гипотетический казус,75,undirected
кистяковский_тэрбер_женщина в западне,муравьев_толкин_ВК5,11,undirected
кистяковский_тэрбер_женщина в западне,муравьев_толкин_ВК6,17,undirected
кистяковский_тэрбер_женщина в западне,муравьев_фицджеральд_алмазная гора,95,undirected
кистяковский_тэрбер_женщина в западне,рахманова_хоббит,6,undirected
кистяковский_фицджеральд_бурный рейс,каменкович каррик_толкин_ч3,4,undirected
кистяковский_фицджеральд_бурный рейс,кистяковский_тиле_остров одинокой сороки,128,undirected
кистяковский_фицджеральд_бурный рейс,кистяковский_толкин_ВК2,29,undirected
кистяковский_фицджеральд_бурный рейс,кистяковский_тэрбер_женщина в западне,27,undirected
кистяковский_фицджеральд_бурный рейс,морозова_тиле_маяк молоткового мыса,135,undirected
кистяковский_фицджеральд_бурный рейс,муравьев_о генри_гипотетический казус,73,undirected
кистяковский_фицджеральд_бурный рейс,муравьев_фицджеральд_алмазная гора,116,undirected
королев_хоббит,каменкович каррик_толкин_ч1,77,undirected
королев_хоббит,каменкович каррик_толкин_ч2,52,undirected
королев_хоббит,каменкович каррик_толкин_ч3,7,undirected
королев_хоббит,кистяковский_толкин_ВК2,3,undirected
королев_хоббит,кистяковский_тэрбер_женщина в западне,4,undirected
королев_хоббит,морозова_тиле_маяк молоткового мыса,17,undirected
королев_хоббит,муравьев кистяковский_толкин_ВК1,125,undirected
королев_хоббит,муравьев_о генри_гипотетический казус,3,undirected
королев_хоббит,муравьев_толкин_ВК5,23,undirected
королев_хоббит,муравьев_фицджеральд_алмазная гора,140,undirected
королев_хоббит,рахманова_хоббит,240,undirected
морозова_тиле_маяк молоткового мыса,каменкович каррик_толкин_ч3,11,undirected
морозова_тиле_маяк молоткового мыса,кистяковский_тиле_остров одинокой сороки,37,undirected
морозова_тиле_маяк молоткового мыса,кистяковский_фицджеральд_бурный рейс,135,undirected
морозова_тиле_маяк молоткового мыса,королев_хоббит,17,undirected
морозова_тиле_маяк молоткового мыса,муравьев_о генри_гипотетический казус,3,undirected
морозова_тиле_маяк молоткового мыса,муравьев_тиле_штормик и мистер персиваль,158,undirected
морозова_тиле_маяк молоткового мыса,муравьев_толкин_ВК5,28,undirected
морозова_тиле_маяк молоткового мыса,муравьев_толкин_ВК6,23,undirected
морозова_тиле_маяк молоткового мыса,муравьев_фицджеральд_алмазная гора,229,undirected
муравьев кистяковский_толкин_ВК1,каменкович каррик_толкин_ч1,231,undirected
муравьев кистяковский_толкин_ВК1,королев_хоббит,125,undirected
муравьев кистяковский_толкин_ВК1,муравьев_толкин_ВК5,6,undirected
муравьев кистяковский_толкин_ВК1,муравьев_фицджеральд_алмазная гора,5,undirected
муравьев кистяковский_толкин_ВК1,рахманова_хоббит,73,undirected
муравьев_о генри_гипотетический казус,кистяковский_тэрбер_женщина в западне,75,undirected
муравьев_о генри_гипотетический казус,кистяковский_фицджеральд_бурный рейс,73,undirected
муравьев_о генри_гипотетический казус,королев_хоббит,3,undirected
муравьев_о генри_гипотетический казус,морозова_тиле_маяк молоткового мыса,3,undirected
муравьев_о генри_гипотетический казус,муравьев_фицджеральд_алмазная гора,120,undirected
муравьев_о генри_гипотетический казус,рахманова_хоббит,41,undirected
муравьев_тиле_штормик и мистер персиваль,кистяковский_тиле_остров одинокой сороки,178,undirected
муравьев_тиле_штормик и мистер персиваль,морозова_тиле_маяк молоткового мыса,158,undirected
муравьев_тиле_штормик и мистер персиваль,муравьев_толкин_ВК5,2,undirected
муравьев_тиле_штормик и мистер персиваль,муравьев_толкин_ВК6,5,undirected
муравьев_тиле_штормик и мистер персиваль,муравьев_фицджеральд_алмазная гора,38,undirected
муравьев_толкин_ВК3,каменкович каррик_толкин_ч3,240,undirected
муравьев_толкин_ВК3,муравьев_толкин_ВК4,98,undirected
муравьев_толкин_ВК3,муравьев_толкин_ВК5,198,undirected
муравьев_толкин_ВК3,муравьев_толкин_ВК6,2,undirected
муравьев_толкин_ВК4,муравьев_толкин_ВК3,98,undirected
муравьев_толкин_ВК4,муравьев_толкин_ВК5,107,undirected
муравьев_толкин_ВК4,муравьев_толкин_ВК6,239,undirected
муравьев_толкин_ВК5,каменкович каррик_толкин_ч3,39,undirected
муравьев_толкин_ВК5,кистяковский_толкин_ВК2,33,undirected
муравьев_толкин_ВК5,кистяковский_тэрбер_женщина в западне,11,undirected
муравьев_толкин_ВК5,королев_хоббит,23,undirected
муравьев_толкин_ВК5,морозова_тиле_маяк молоткового мыса,28,undirected
муравьев_толкин_ВК5,муравьев кистяковский_толкин_ВК1,6,undirected
муравьев_толкин_ВК5,муравьев_тиле_штормик и мистер персиваль,2,undirected
муравьев_толкин_ВК5,муравьев_толкин_ВК3,198,undirected
муравьев_толкин_ВК5,муравьев_толкин_ВК4,107,undirected
муравьев_толкин_ВК5,муравьев_толкин_ВК6,94,undirected
муравьев_толкин_ВК5,муравьев_фицджеральд_алмазная гора,55,undirected
муравьев_толкин_ВК5,рахманова_хоббит,1,undirected
муравьев_толкин_ВК6,кистяковский_тэрбер_женщина в западне,17,undirected
муравьев_толкин_ВК6,морозова_тиле_маяк молоткового мыса,23,undirected
муравьев_толкин_ВК6,муравьев_тиле_штормик и мистер персиваль,5,undirected
муравьев_толкин_ВК6,муравьев_толкин_ВК3,2,undirected
муравьев_толкин_ВК6,муравьев_толкин_ВК4,239,undirected
муравьев_толкин_ВК6,муравьев_толкин_ВК5,94,undirected
