Source,Target,Weight,Type
каменкович каррик_толкин_ч1_1,каменкович каррик_толкин_ч1_2,96,undirected
каменкович каррик_толкин_ч1_1,каменкович каррик_толкин_ч1_3,23,undirected
каменкович каррик_толкин_ч1_1,каменкович каррик_толкин_ч1_4,51,undirected
каменкович каррик_толкин_ч1_1,каменкович каррик_толкин_ч1_5,44,undirected
каменкович каррик_толкин_ч1_1,каменкович каррик_толкин_ч2_4,5,undirected
каменкович каррик_толкин_ч1_1,королев_хоббит_1,4,undirected
каменкович каррик_толкин_ч1_1,морозова_тиле_маяк молоткового мыса_2,1,undirected
каменкович каррик_толкин_ч1_1,муравьев кистяковский_толкин_ВК1_2,38,undirected
каменкович каррик_толкин_ч1_1,муравьев_о генри_гипотетический казус_5,1,undirected
каменкович каррик_толкин_ч1_1,муравьев_фицджеральд_алмазная гора_1,4,undirected
каменкович каррик_толкин_ч1_2,каменкович каррик_толкин_ч1_1,96,undirected
каменкович каррик_толкин_ч1_2,каменкович каррик_толкин_ч1_3,87,undirected
каменкович каррик_толкин_ч1_2,каменкович каррик_толкин_ч1_4,11,undirected
каменкович каррик_толкин_ч1_2,каменкович каррик_толкин_ч1_5,28,undirected
каменкович каррик_толкин_ч1_2,муравьев кистяковский_толкин_ВК1_3,3,undirected
каменкович каррик_толкин_ч1_2,муравьев кистяковский_толкин_ВК1_4,4,undirected
каменкович каррик_толкин_ч1_2,муравьев_фицджеральд_алмазная гора_1,1,undirected
каменкович каррик_толкин_ч1_2,муравьев_фицджеральд_алмазная гора_5,3,undirected
каменкович каррик_толкин_ч1_3,каменкович каррик_толкин_ч1_1,23,undirected
каменкович каррик_толкин_ч1_3,каменкович каррик_толкин_ч1_2,87,undirected
каменкович каррик_толкин_ч1_3,каменкович каррик_толкин_ч1_4,71,undirected
каменкович каррик_толкин_ч1_3,каменкович каррик_толкин_ч1_5,94,undirected
каменкович каррик_толкин_ч1_3,рахманова_хоббит_3,1,undirected
каменкович каррик_толкин_ч1_4,каменкович каррик_толкин_ч1_1,51,undirected
каменкович каррик_толкин_ч1_4,каменкович каррик_толкин_ч1_2,11,undirected
каменкович каррик_толкин_ч1_4,каменкович каррик_толкин_ч1_3,71,undirected
каменкович каррик_толкин_ч1_4,каменкович каррик_толкин_ч1_5,51,undirected
каменкович каррик_толкин_ч1_4,морозова_тиле_маяк молоткового мыса_1,6,undirected
каменкович каррик_толкин_ч1_4,муравьев кистяковский_толкин_ВК1_3,11,undirected
каменкович каррик_толкин_ч1_5,каменкович каррик_толкин_ч1_1,44,undirected
каменкович каррик_толкин_ч1_5,каменкович каррик_толкин_ч1_2,28,undirected
каменкович каррик_толкин_ч1_5,каменкович каррик_толкин_ч1_3,94,undirected
каменкович каррик_толкин_ч1_5,каменкович каррик_толкин_ч1_4,51,undirected
каменкович каррик_толкин_ч1_5,королев_хоббит_1,4,undirected
каменкович каррик_толкин_ч1_5,муравьев кистяковский_толкин_ВК1_3,2,undirected
каменкович каррик_толкин_ч1_5,муравьев кистяковский_толкин_ВК1_5,1,undirected
каменкович каррик_толкин_ч2_1,каменкович каррик_толкин_ч2_2,76,undirected
каменкович каррик_толкин_ч2_1,каменкович каррик_толкин_ч2_3,94,undirected
каменкович каррик_толкин_ч2_1,каменкович каррик_толкин_ч2_4,23,undirected
каменкович каррик_толкин_ч2_1,каменкович каррик_толкин_ч2_5,58,undirected
каменкович каррик_толкин_ч2_1,кистяковский_толкин_ВК2_4,3,undirected
каменкович каррик_толкин_ч2_1,кистяковский_фицджеральд_бурный рейс_2,3,undirected
каменкович каррик_толкин_ч2_1,морозова_тиле_маяк молоткового мыса_1,2,undirected
каменкович каррик_толкин_ч2_1,муравьев_толкин_ВК5_5,3,undirected
каменкович каррик_толкин_ч2_1,рахманова_хоббит_1,4,undirected
каменкович каррик_толкин_ч2_2,каменкович каррик_толкин_ч2_1,76,undirected
каменкович каррик_толкин_ч2_2,каменкович каррик_толкин_ч2_3,69,undirected
каменкович каррик_толкин_ч2_2,каменкович каррик_толкин_ч2_4,35,undirected
каменкович каррик_толкин_ч2_2,каменкович каррик_толкин_ч2_5,49,undirected
каменкович каррик_толкин_ч2_2,каменкович каррик_толкин_ч3_4,1,undirected
каменкович каррик_толкин_ч2_2,кистяковский_тиле_остров одинокой сороки_5,2,undirected
каменкович каррик_толкин_ч2_2,кистяковский_толкин_ВК2_1,8,undirected
каменкович каррик_толкин_ч2_2,кистяковский_толкин_ВК2_2,1,undirected
каменкович каррик_толкин_ч2_2,кистяковский_толкин_ВК2_4,2,undirected
каменкович каррик_толкин_ч2_2,кистяковский_толкин_ВК2_5,7,undirected
каменкович каррик_толкин_ч2_2,кистяковский_фицджеральд_бурный рейс_1,1,undirected
каменкович каррик_толкин_ч2_2,королев_хоббит_1,2,undirected
каменкович каррик_толкин_ч2_2,морозова_тиле_маяк молоткового мыса_4,1,undirected
каменкович каррик_толкин_ч2_2,муравьев_толкин_ВК6_5,2,undirected
каменкович каррик_толкин_ч2_2,муравьев_фицджеральд_алмазная гора_1,4,undirected
каменкович каррик_толкин_ч2_3,каменкович каррик_толкин_ч2_1,94,undirected
каменкович каррик_толкин_ч2_3,каменкович каррик_толкин_ч2_2,69,undirected
каменкович каррик_толкин_ч2_3,каменкович каррик_толкин_ч2_4,47,undirected
каменкович каррик_толкин_ч2_3,каменкович каррик_толкин_ч2_5,22,undirected
каменкович каррик_толкин_ч2_3,кистяковский_толкин_ВК2_1,6,undirected
каменкович каррик_толкин_ч2_3,королев_хоббит_5,1,undirected
каменкович каррик_толкин_ч2_3,муравьев_толкин_ВК5_1,3,undirected
каменкович каррик_толкин_ч2_3,муравьев_толкин_ВК6_1,6,undirected
каменкович каррик_толкин_ч2_3,рахманова_хоббит_5,5,undirected
каменкович каррик_толкин_ч2_4,каменкович каррик_толкин_ч1_1,5,undirected
каменкович каррик_толкин_ч2_4,каменкович каррик_толкин_ч2_1,23,undirected
каменкович каррик_толкин_ч2_4,каменкович каррик_толкин_ч2_2,35,undirected
каменкович каррик_толкин_ч2_4,каменкович каррик_толкин_ч2_3,47,undirected
каменкович каррик_толкин_ч2_4,каменкович каррик_толкин_ч2_5,28,undirected
каменкович каррик_толкин_ч2_4,каменкович каррик_толкин_ч3_5,2,undirected
каменкович каррик_толкин_ч2_4,кистяковский_толкин_ВК2_1,4,undirected
каменкович каррик_толкин_ч2_4,кистяковский_толкин_ВК2_2,22,undirected
каменкович каррик_толкин_ч2_4,кистяковский_толкин_ВК2_3,1,undirected
каменкович каррик_толкин_ч2_4,кистяковский_толкин_ВК2_4,12,undirected
каменкович каррик_толкин_ч2_4,кистяковский_толкин_ВК2_5,3,undirected
каменкович каррик_толкин_ч2_4,королев_хоббит_1,3,undirected
каменкович каррик_толкин_ч2_4,муравьев_толкин_ВК5_1,2,undirected
каменкович каррик_толкин_ч2_4,муравьев_толкин_ВК5_3,7,undirected
каменкович каррик_толкин_ч2_4,муравьев_толкин_ВК5_5,1,undirected
каменкович каррик_толкин_ч2_4,рахманова_хоббит_1,1,undirected
каменкович каррик_толкин_ч2_5,каменкович каррик_толкин_ч2_1,58,undirected
каменкович каррик_толкин_ч2_5,каменкович каррик_толкин_ч2_2,49,undirected
каменкович каррик_толкин_ч2_5,каменкович каррик_толкин_ч2_3,22,undirected
каменкович каррик_толкин_ч2_5,каменкович каррик_толкин_ч2_4,28,undirected
каменкович каррик_толкин_ч2_5,кистяковский_толкин_ВК2_1,5,undirected
каменкович каррик_толкин_ч2_5,кистяковский_толкин_ВК2_4,3,undirected
каменкович каррик_толкин_ч2_5,кистяковский_толкин_ВК2_5,8,undirected
каменкович каррик_толкин_ч2_5,королев_хоббит_5,5,undirected
каменкович каррик_толкин_ч2_5,муравьев_о генри_гипотетический казус_5,3,undirected
каменкович каррик_толкин_ч2_5,муравьев_фицджеральд_алмазная гора_3,2,undirected
каменкович каррик_толкин_ч3_1,каменкович каррик_толкин_ч3_2,82,undirected
каменкович каррик_толкин_ч3_1,каменкович каррик_толкин_ч3_3,66,undirected
каменкович каррик_толкин_ч3_1,каменкович каррик_толкин_ч3_4,2,undirected
каменкович каррик_толкин_ч3_1,каменкович каррик_толкин_ч3_5,95,undirected
каменкович каррик_толкин_ч3_1,королев_хоббит_4,2,undirected
каменкович каррик_толкин_ч3_1,муравьев_толкин_ВК5_3,1,undirected
каменкович каррик_толкин_ч3_1,муравьев_фицджеральд_алмазная гора_3,1,undirected
каменкович каррик_толкин_ч3_2,каменкович каррик_толкин_ч3_1,82,undirected
каменкович каррик_толкин_ч3_2,каменкович каррик_толкин_ч3_3,40,undirected
каменкович каррик_толкин_ч3_2,каменкович каррик_толкин_ч3_4,111,undirected
каменкович каррик_толкин_ч3_2,каменкович каррик_толкин_ч3_5,61,undirected
каменкович каррик_толкин_ч3_2,кистяковский_толкин_ВК2_1,1,undirected
каменкович каррик_толкин_ч3_2,королев_хоббит_1,2,undirected
каменкович каррик_толкин_ч3_2,королев_хоббит_3,2,undirected
каменкович каррик_толкин_ч3_2,морозова_тиле_маяк молоткового мыса_1,3,undirected
каменкович каррик_толкин_ч3_3,каменкович каррик_толкин_ч3_1,66,undirected
каменкович каррик_толкин_ч3_3,каменкович каррик_толкин_ч3_2,40,undirected
каменкович каррик_толкин_ч3_3,каменкович каррик_толкин_ч3_4,55,undirected
каменкович каррик_толкин_ч3_3,каменкович каррик_толкин_ч3_5,8,undirected
каменкович каррик_толкин_ч3_3,королев_хоббит_2,4,undirected
каменкович каррик_толкин_ч3_3,королев_хоббит_5,1,undirected
каменкович каррик_толкин_ч3_3,муравьев_толкин_ВК3_2,15,undirected
каменкович каррик_толкин_ч3_3,муравьев_толкин_ВК5_2,1,undirected
каменкович каррик_толкин_ч3_3,муравьев_фицджеральд_алмазная гора_3,3,undirected
каменкович каррик_толкин_ч3_4,каменкович каррик_толкин_ч2_2,1,undirected
каменкович каррик_толкин_ч3_4,каменкович каррик_толкин_ч3_1,2,undirected
каменкович каррик_толкин_ч3_4,каменкович каррик_толкин_ч3_2,111,undirected
каменкович каррик_толкин_ч3_4,каменкович каррик_толкин_ч3_3,55,undirected
каменкович каррик_толкин_ч3_4,каменкович каррик_толкин_ч3_5,34,undirected
каменкович каррик_толкин_ч3_4,кистяковский_тиле_остров одинокой сороки_5,2,undirected
каменкович каррик_толкин_ч3_4,кистяковский_толкин_ВК2_1,2,undirected
каменкович каррик_толкин_ч3_4,муравьев_толкин_ВК3_1,17,undirected
каменкович каррик_толкин_ч3_4,муравьев_толкин_ВК3_2,1,undirected
каменкович каррик_толкин_ч3_4,муравьев_толкин_ВК3_3,2,undirected
каменкович каррик_толкин_ч3_4,муравьев_толкин_ВК3_4,1,undirected
каменкович каррик_толкин_ч3_5,каменкович каррик_толкин_ч2_4,2,undirected
каменкович каррик_толкин_ч3_5,каменкович каррик_толкин_ч3_1,95,undirected
