Source,Target,Weight,Type
каменкович каррик_толкин_ч1,каменкович каррик_толкин_ч2,7,undirected
каменкович каррик_толкин_ч1,королев_хоббит,58,undirected
каменкович каррик_толкин_ч1,муравьев кистяковский_толкин_ВК1,217,undirected
каменкович каррик_толкин_ч1,муравьев_фицджеральд_алмазная гора,12,undirected
каменкович каррик_толкин_ч1,рахманова_хоббит,44,undirected
каменкович каррик_толкин_ч2,каменкович каррик_толкин_ч1,7,undirected
каменкович каррик_толкин_ч2,каменкович каррик_толкин_ч3,61,undirected
каменкович каррик_толкин_ч2,кистяковский_толкин_ВК2,234,undirected
каменкович каррик_толкин_ч2,кистяковский_тэрбер_женщина в западне,3,undirected
каменкович каррик_толкин_ч2,королев_хоббит,53,undirected
каменкович каррик_толкин_ч2,морозова_тиле_маяк молоткового мыса,7,undirected
каменкович каррик_толкин_ч2,муравьев_толкин_ВК5,3,undirected
каменкович каррик_толкин_ч2,муравьев_фицджеральд_алмазная гора,13,undirected
каменкович каррик_толкин_ч2,рахманова_хоббит,57,undirected
каменкович каррик_толкин_ч3,каменкович каррик_толкин_ч2,61,undirected
каменкович каррик_толкин_ч3,кистяковский_тиле_остров одинокой сороки,1,undirected
каменкович каррик_толкин_ч3,кистяковский_толкин_ВК2,23,undirected
каменкович каррик_толкин_ч3,морозова_тиле_маяк молоткового мыса,2,undirected
каменкович каррик_толкин_ч3,муравьев_толкин_ВК3,234,undirected
каменкович каррик_толкин_ч3,муравьев_толкин_ВК4,8,undirected
каменкович каррик_толкин_ч3,муравьев_толкин_ВК5,29,undirected
каменкович каррик_толкин_ч3,муравьев_толкин_ВК6,3,undirected
кистяковский_тиле_остров одинокой сороки,каменкович каррик_толкин_ч3,1,undirected
кистяковский_тиле_остров одинокой сороки,кистяковский_толкин_ВК2,15,undirected
кистяковский_тиле_остров одинокой сороки,кистяковский_тэрбер_женщина в западне,10,undirected
кистяковский_тиле_остров одинокой сороки,кистяковский_фицджеральд_бурный рейс,99,undirected
кистяковский_тиле_остров одинокой сороки,морозова_тиле_маяк молоткового мыса,51,undirected
кистяковский_тиле_остров одинокой сороки,муравьев_тиле_штормик и мистер персиваль,167,undirected
кистяковский_тиле_остров одинокой сороки,муравьев_фицджеральд_алмазная гора,22,undirected
кистяковский_толкин_ВК2,каменкович каррик_толкин_ч2,234,undirected
кистяковский_толкин_ВК2,каменкович каррик_толкин_ч3,23,undirected
кистяковский_толкин_ВК2,кистяковский_тиле_остров одинокой сороки,15,undirected
кистяковский_толкин_ВК2,кистяковский_тэрбер_женщина в западне,2,undirected
кистяковский_толкин_ВК2,кистяковский_фицджеральд_бурный рейс,49,undirected
кистяковский_толкин_ВК2,муравьев_толкин_ВК3,2,undirected
кистяковский_толкин_ВК2,муравьев_толкин_ВК5,14,undirected
кистяковский_толкин_ВК2,муравьев_фицджеральд_алмазная гора,50,undirected
кистяковский_толкин_ВК2,рахманова_хоббит,3,undirected
кистяковский_тэрбер_женщина в западне,каменкович каррик_толкин_ч2,3,undirected
